pde,task_mode,method,kernel,split,n_train,n_eval,ics_per_param,mean_relative_error,std_relative_error,pca,x_model_dim,coef_model_dim,y_model_dim,fw1_x_model_dim,fw1_y_model_dim,train_time_seconds,predict_time_seconds,length_scale,alpha,ood_filename,nu,coef_length_scale,coef_nu,state_length_scale,state_nu
DiffReacAdv,sample,vanilla,RBF,test,10000,4000,,0.12627493099349466,0.05458280274830231,False,128,5,8192,,,14.599460834004276,3.256712417001836,10.0,1e-10,,,,,,
DiffReacAdv,sample,vanilla,RBF,ood,10000,4000,,0.1583030263458534,0.07177043227536718,False,128,5,8192,,,14.599460834004276,3.1876367079967167,10.0,1e-10,ood.h5,,,,,
DiffReacAdv,sample,vanilla,RBF,ood,10000,4000,,2.338545341128336,1.5311226728733076,False,128,5,8192,,,14.599460834004276,3.2452285410035984,10.0,1e-10,ood_init_GP.h5,,,,,
DiffReacAdv,sample,vanilla,RBF,ood,10000,4000,,25.894295852105024,12.493852189241187,False,128,5,8192,,,14.599460834004276,3.2361348749982426,10.0,1e-10,ood_init_amp.h5,,,,,
DiffReacAdv,sample,vanilla,RBF,ood,10000,4000,,0.1583030263458534,0.07177043227536718,False,128,5,8192,,,14.599460834004276,3.2552070419988013,10.0,1e-10,ood_par.h5,,,,,
DiffReacAdv,sample,vanilla,RBF,ood,10000,4000,,2.3385210985392297,1.552346287189592,False,128,5,8192,,,14.599460834004276,3.1901838750054594,10.0,1e-10,ood_par_init_GP.h5,,,,,
DiffReacAdv,sample,vanilla,RBF,ood,10000,4000,,25.909325141732136,12.509242480771348,False,128,5,8192,,,14.599460834004276,3.1873544589980156,10.0,1e-10,ood_par_init_amp.h5,,,,,
DiffReacAdv,sample,vanilla,Matern,test,10000,4000,,0.18809096688059537,0.10186585431711914,False,128,5,8192,,,14.398183166995295,3.3781776670002728,1.0,1e-10,,2.5,,,,
DiffReacAdv,sample,vanilla,Matern,ood,10000,4000,,0.08274884838750483,0.04829640813867822,False,128,5,8192,,,14.398183166995295,3.3631332500008284,1.0,1e-10,ood.h5,2.5,,,,
DiffReacAdv,sample,vanilla,Matern,ood,10000,4000,,0.2300308481717481,0.14709795324558764,False,128,5,8192,,,14.398183166995295,3.4292516249988694,1.0,1e-10,ood_init_GP.h5,2.5,,,,
