framework,pde,model,setting,size,split,mean_relative_error,std_relative_error,predict_time_seconds,n_eval,ood_file,n_train,n_params,train_time_seconds,epochs,lr,batch_size,num_trunk,num_branch,num_leaf
Framework2,Conservation_law,mionet,MIONet,small,test,0.1120566055178642,0.02665850892663,0.3844994455575943,4000,,10000,306601,248.572758955881,200,0.001,64,50,50,
Framework2,Conservation_law,mionet,MIONet,small,ood,0.1318102180957794,0.039240475744009,0.3354140482842922,4000,ood.h5,10000,306601,248.572758955881,200,0.001,64,50,50,
Framework2,Conservation_law,mionet,MIONet,small,ood,0.1524780839681625,0.0516513288021087,0.3398519549518823,4000,ood_init_GP.h5,10000,306601,248.572758955881,200,0.001,64,50,50,
Framework2,Conservation_law,mionet,MIONet,small,ood,0.2980771362781524,0.131907433271408,0.3400873374193907,4000,ood_init_amp.h5,10000,306601,248.572758955881,200,0.001,64,50,50,
Framework2,Conservation_law,mionet,MIONet,small,ood,0.1318102180957794,0.039240475744009,0.3386595714837312,4000,ood_par.h5,10000,306601,248.572758955881,200,0.001,64,50,50,
Framework2,Conservation_law,mionet,MIONet,small,ood,0.1825177669525146,0.0640997514128685,0.3413740508258343,4000,ood_par_init_GP.h5,10000,306601,248.572758955881,200,0.001,64,50,50,
Framework2,Conservation_law,mionet,MIONet,small,ood,0.2923973202705383,0.1291040927171707,0.3412407673895359,4000,ood_par_init_amp.h5,10000,306601,248.572758955881,200,0.001,64,50,50,
Framework2,Conservation_law,mionet,MIONet,medium,test,0.0432371273636817,0.0130630461499094,0.4136144891381264,4000,,10000,2198201,245.40160719119007,200,0.001,64,100,100,
Framework2,Conservation_law,mionet,MIONet,medium,ood,0.0890396982431411,0.0978690683841705,0.4139241129159927,4000,ood.h5,10000,2198201,245.40160719119007,200,0.001,64,100,100,
Framework2,Conservation_law,mionet,MIONet,medium,ood,0.063684731721878,0.0282879695296287,0.414538124576211,4000,ood_init_GP.h5,10000,2198201,245.40160719119007,200,0.001,64,100,100,
Framework2,Conservation_law,mionet,MIONet,medium,ood,0.219773918390274,0.1122407838702201,0.4108408410102129,4000,ood_init_amp.h5,10000,2198201,245.40160719119007,200,0.001,64,100,100,
Framework2,Conservation_law,mionet,MIONet,medium,ood,0.0890396982431411,0.0978690683841705,0.4111792761832475,4000,ood_par.h5,10000,2198201,245.40160719119007,200,0.001,64,100,100,
Framework2,Conservation_law,mionet,MIONet,medium,ood,0.1074062809348106,0.1155297458171844,0.4107219073921442,4000,ood_par_init_GP.h5,10000,2198201,245.40160719119007,200,0.001,64,100,100,
Framework2,Conservation_law,mionet,MIONet,medium,ood,0.2108881771564483,0.1083149909973144,0.4112120866775512,4000,ood_par_init_amp.h5,10000,2198201,245.40160719119007,200,0.001,64,100,100,
Framework2,Conservation_law,mionet,MIONet,large,test,0.2486752569675445,0.0886960253119468,0.6989237628877163,4000,,10000,9678801,348.0354398768395,200,0.001,64,150,150,
Framework2,Conservation_law,mionet,MIONet,large,ood,0.2510535717010498,0.0883881598711013,0.6910975910723209,4000,ood.h5,10000,9678801,348.0354398768395,200,0.001,64,150,150,
Framework2,Conservation_law,mionet,MIONet,large,ood,0.4216230511665344,0.0791765078902244,0.6933520566672087,4000,ood_init_GP.h5,10000,9678801,348.0354398768395,200,0.001,64,150,150,
Framework2,Conservation_law,mionet,MIONet,large,ood,0.1894212365150451,0.0792851522564888,0.6912861242890358,4000,ood_init_amp.h5,10000,9678801,348.0354398768395,200,0.001,64,150,150,
Framework2,Conservation_law,mionet,MIONet,large,ood,0.2510535717010498,0.0883881598711013,0.6924587562680244,4000,ood_par.h5,10000,9678801,348.0354398768395,200,0.001,64,150,150,
Framework2,Conservation_law,mionet,MIONet,large,ood,0.4213262796401977,0.0779399797320365,0.6942043658345938,4000,ood_par_init_GP.h5,10000,9678801,348.0354398768395,200,0.001,64,150,150,
Framework2,Conservation_law,mionet,MIONet,large,ood,0.1892574727535247,0.0792940706014633,0.6947102341800928,4000,ood_par_init_amp.h5,10000,9678801,348.0354398768395,200,0.001,64,150,150,
Framework2,Conservation_law,mno,MNO,small,test,0.0862641483545303,0.0302851665765047,0.38519605435431,4000,,10000,572105,270.49565429612994,200,0.001,64,20,10,5.0
Framework2,Conservation_law,mno,MNO,small,ood,0.0982796028256416,0.0366470925509929,0.3775576520711183,4000,ood.h5,10000,572105,270.49565429612994,200,0.001,64,20,10,5.0
Framework2,Conservation_law,mno,MNO,small,ood,0.1334061026573181,0.0376833938062191,0.3761895392090082,4000,ood_init_GP.h5,10000,572105,270.49565429612994,200,0.001,64,20,10,5.0
Framework2,Conservation_law,mno,MNO,small,ood,0.0896027162671089,0.0242270939052104,0.3771648649126291,4000,ood_init_amp.h5,10000,572105,270.49565429612994,200,0.001,64,20,10,5.0
Framework2,Conservation_law,mno,MNO,small,ood,0.0982796028256416,0.0366470925509929,0.3765950631350279,4000,ood_par.h5,10000,572105,270.49565429612994,200,0.001,64,20,10,5.0
Framework2,Conservation_law,mno,MNO,small,ood,0.1643989384174347,0.0578536503016948,0.3767633885145187,4000,ood_par_init_GP.h5,10000,572105,270.49565429612994,200,0.001,64,20,10,5.0
Framework2,Conservation_law,mno,MNO,small,ood,0.0966320037841796,0.0298768132925033,0.3766446355730295,4000,ood_par_init_amp.h5,10000,572105,270.49565429612994,200,0.001,64,20,10,5.0
Framework2,Conservation_law,mno,MNO,medium,test,0.0432822592556476,0.0129497423768043,0.3837217278778553,4000,,10000,1199210,260.5247874353081,200,0.001,64,20,20,10.0
Framework2,Conservation_law,mno,MNO,medium,ood,0.0571477338671684,0.0274457354098558,0.3738994095474481,4000,ood.h5,10000,1199210,260.5247874353081,200,0.001,64,20,20,10.0
Framework2,Conservation_law,mno,MNO,medium,ood,0.0672156065702438,0.0202273968607187,0.3756390083581209,4000,ood_init_GP.h5,10000,1199210,260.5247874353081,200,0.001,64,20,20,10.0
Framework2,Conservation_law,mno,MNO,medium,ood,0.0726658776402473,0.0204147398471832,0.373495889827609,4000,ood_init_amp.h5,10000,1199210,260.5247874353081,200,0.001,64,20,20,10.0
Framework2,Conservation_law,mno,MNO,medium,ood,0.0571477338671684,0.0274457354098558,0.3758153207600117,4000,ood_par.h5,10000,1199210,260.5247874353081,200,0.001,64,20,20,10.0
Framework2,Conservation_law,mno,MNO,medium,ood,0.0937918871641159,0.044906597584486,0.3740921597927809,4000,ood_par_init_GP.h5,10000,1199210,260.5247874353081,200,0.001,64,20,20,10.0
Framework2,Conservation_law,mno,MNO,medium,ood,0.0779308900237083,0.0230378732085227,0.3746323306113481,4000,ood_par_init_amp.h5,10000,1199210,260.5247874353081,200,0.001,64,20,20,10.0
Framework2,Conservation_law,mno,MNO,large,test,0.0328866355121135,0.0105225164443254,0.37950468249619,4000,,10000,16677840,277.5914840735495,200,0.001,64,20,100,40.0
Framework2,Conservation_law,mno,MNO,large,ood,0.0479106344282627,0.0287685338407754,0.3770769573748112,4000,ood.h5,10000,16677840,277.5914840735495,200,0.001,64,20,100,40.0
Framework2,Conservation_law,mno,MNO,large,ood,0.0545463934540748,0.0171350762248039,0.376346405595541,4000,ood_init_GP.h5,10000,16677840,277.5914840735495,200,0.001,64,20,100,40.0
Framework2,Conservation_law,mno,MNO,large,ood,0.0704473480582237,0.0210665706545114,0.3766646422445774,4000,ood_init_amp.h5,10000,16677840,277.5914840735495,200,0.001,64,20,100,40.0
Framework2,Conservation_law,mno,MNO,large,ood,0.0479106344282627,0.0287685338407754,0.3779740743339062,4000,ood_par.h5,10000,16677840,277.5914840735495,200,0.001,64,20,100,40.0
Framework2,Conservation_law,mno,MNO,large,ood,0.0825327336788177,0.0495977140963077,0.3758652564138174,4000,ood_par_init_GP.h5,10000,16677840,277.5914840735495,200,0.001,64,20,100,40.0
Framework2,Conservation_law,mno,MNO,large,ood,0.0749521851539611,0.022972572594881,0.3762803226709366,4000,ood_par_init_amp.h5,10000,16677840,277.5914840735495,200,0.001,64,20,100,40.0
Framework2,DiffReacAdv,mionet,MIONet,small,test,0.0571350418031215,0.0134715847671031,0.3345781397074461,4000,,10000,306701,248.52016646414995,200,0.001,64,50,50,
Framework2,DiffReacAdv,mionet,MIONet,small,ood,0.1622386425733566,0.1396884173154831,0.3333579376339912,4000,ood.h5,10000,306701,248.52016646414995,200,0.001,64,50,50,
Framework2,DiffReacAdv,mionet,MIONet,small,ood,0.0965796038508415,0.0388118959963321,0.3345125392079353,4000,ood_init_GP.h5,10000,306701,248.52016646414995,200,0.001,64,50,50,
Framework2,DiffReacAdv,mionet,MIONet,small,ood,0.3023869097232818,0.1411066204309463,0.3339158277958631,4000,ood_init_amp.h5,10000,306701,248.52016646414995,200,0.001,64,50,50,
Framework2,DiffReacAdv,mionet,MIONet,small,ood,0.1622386425733566,0.1396884173154831,0.3342169430106878,4000,ood_par.h5,10000,306701,248.52016646414995,200,0.001,64,50,50,
Framework2,DiffReacAdv,mionet,MIONet,small,ood,0.1747455596923828,0.1365018635988235,0.3343556765466928,4000,ood_par_init_GP.h5,10000,306701,248.52016646414995,200,0.001,64,50,50,
Framework2,DiffReacAdv,mionet,MIONet,small,ood,0.2817969024181366,0.1338309645652771,0.33396808616817,4000,ood_par_init_amp.h5,10000,306701,248.52016646414995,200,0.001,64,50,50,
Framework2,DiffReacAdv,mionet,MIONet,medium,test,0.1368179023265838,0.042362593114376,0.4169600270688534,4000,,10000,2198401,247.7610811293125,200,0.001,64,100,100,
Framework2,DiffReacAdv,mionet,MIONet,medium,ood,0.1679700016975402,0.0564127415418624,0.4151674043387174,4000,ood.h5,10000,2198401,247.7610811293125,200,0.001,64,100,100,
Framework2,DiffReacAdv,mionet,MIONet,medium,ood,0.1643964946269989,0.0700492337346077,0.4177497234195471,4000,ood_init_GP.h5,10000,2198401,247.7610811293125,200,0.001,64,100,100,
Framework2,DiffReacAdv,mionet,MIONet,medium,ood,0.5264939069747925,0.2534058094024658,0.4149928689002991,4000,ood_init_amp.h5,10000,2198401,247.7610811293125,200,0.001,64,100,100,
Framework2,DiffReacAdv,mionet,MIONet,medium,ood,0.1679700016975402,0.0564127415418624,0.4138296898454427,4000,ood_par.h5,10000,2198401,247.7610811293125,200,0.001,64,100,100,
Framework2,DiffReacAdv,mionet,MIONet,medium,ood,0.2089434564113617,0.0873281434178352,0.4140694327652454,4000,ood_par_init_GP.h5,10000,2198401,247.7610811293125,200,0.001,64,100,100,
Framework2,DiffReacAdv,mionet,MIONet,medium,ood,0.5289703607559204,0.2488195896148681,0.4183888211846351,4000,ood_par_init_amp.h5,10000,2198401,247.7610811293125,200,0.001,64,100,100,
Framework2,DiffReacAdv,mionet,MIONet,large,test,0.1163091287016868,0.0361254699528217,0.696670975536108,4000,,10000,9679201,349.3557380139828,200,0.001,64,150,150,
Framework2,DiffReacAdv,mionet,MIONet,large,ood,0.1561188548803329,0.0655561462044715,0.6963174361735582,4000,ood.h5,10000,9679201,349.3557380139828,200,0.001,64,150,150,
Framework2,DiffReacAdv,mionet,MIONet,large,ood,0.1575304269790649,0.0698602125048637,0.6964401490986347,4000,ood_init_GP.h5,10000,9679201,349.3557380139828,200,0.001,64,150,150,
Framework2,DiffReacAdv,mionet,MIONet,large,ood,0.4841372966766357,0.2351193577051162,0.6957982759922743,4000,ood_init_amp.h5,10000,9679201,349.3557380139828,200,0.001,64,150,150,
Framework2,DiffReacAdv,mionet,MIONet,large,ood,0.1561188548803329,0.0655561462044715,0.6966172214597464,4000,ood_par.h5,10000,9679201,349.3557380139828,200,0.001,64,150,150,
