pde,task_mode,method,kernel,split,n_train,n_eval,ics_per_param,mean_relative_error,std_relative_error,pca,x_model_dim,coef_model_dim,y_model_dim,fw1_x_model_dim,fw1_y_model_dim,train_time_seconds,predict_time_seconds,length_scale,alpha,ood_filename,nu,coef_length_scale,coef_nu,state_length_scale,state_nu
Parametric_Wave,sample,vanilla,RBF,test,6400,1600,,0.5350120448032071,0.17354170336127775,False,128,64,8192,,,5.84181075000015,0.771139000000403,1.0,1e-10,,,,,,
Parametric_Wave,sample,vanilla,RBF,ood,6400,800,,0.4452250627336804,0.14095955170234997,False,128,64,8192,,,5.84181075000015,0.38711241700002574,1.0,1e-10,ood_matern.h5,,,,,
Parametric_Wave,sample,vanilla,RBF,ood,6400,800,,0.48084857545638454,0.19646876884088052,False,128,64,8192,,,5.84181075000015,0.38162745799854747,1.0,1e-10,ood_scale.h5,,,,,
Parametric_Wave,sample,vanilla,RBF,ood,6400,800,,0.5134711814302926,0.17412637583102175,False,128,64,8192,,,5.84181075000015,0.379171167001914,1.0,1e-10,ood_var.h5,,,,,
Parametric_Wave,sample,vanilla,Matern,test,6400,1600,,0.5350135853144706,0.17354245214961525,False,128,64,8192,,,5.953637541002536,0.7797375000009197,1.0,1e-10,,2.5,,,,
Parametric_Wave,sample,vanilla,Matern,ood,6400,800,,0.4452261665242818,0.14096015883692314,False,128,64,8192,,,5.953637541002536,0.39319595900087734,1.0,1e-10,ood_matern.h5,2.5,,,,
Parametric_Wave,sample,vanilla,Matern,ood,6400,800,,0.4808501405714539,0.1964688326854022,False,128,64,8192,,,5.953637541002536,0.39158304200100247,1.0,1e-10,ood_scale.h5,2.5,,,,
Parametric_Wave,sample,vanilla,Matern,ood,6400,800,,0.5134729731085081,0.174127347289771,False,128,64,8192,,,5.953637541002536,0.391314082997269,1.0,1e-10,ood_var.h5,2.5,,,,
Parametric_Wave,sample,product_gpr,Matern x Matern,test,6400,1600,,0.026311458291576627,0.058579344287562105,False,128,64,8192,,,6.946960458000831,1.0198644170013722,,1e-10,,,1.0,2.5,1.0,2.5
Parametric_Wave,sample,product_gpr,Matern x Matern,ood,6400,800,,0.5669121611715165,0.17611292064253892,False,128,64,8192,,,6.946960458000831,0.4991357920007431,,1e-10,ood_matern.h5,,1.0,2.5,1.0,2.5
Parametric_Wave,sample,product_gpr,Matern x Matern,ood,6400,800,,0.7193329404158775,0.1338374562501298,False,128,64,8192,,,6.946960458000831,0.49706891599998926,,1e-10,ood_scale.h5,,1.0,2.5,1.0,2.5
Parametric_Wave,sample,product_gpr,Matern x Matern,ood,6400,800,,0.02048528724177534,0.032181592294815,False,128,64,8192,,,6.946960458000831,0.5034535829981905,,1e-10,ood_var.h5,,1.0,2.5,1.0,2.5
Parametric_Wave,sample,product_gpr,RBF x RBF,test,6400,1600,,0.023708159772959328,0.05131557501757241,False,128,64,8192,,,6.929136750000907,0.941981541000132,,1e-10,,,1.0,,1000.0,
Parametric_Wave,sample,product_gpr,RBF x RBF,ood,6400,800,,0.6604987076495198,0.17440807821236523,False,128,64,8192,,,6.929136750000907,0.4884948330000043,,1e-10,ood_matern.h5,,1.0,,1000.0,
Parametric_Wave,sample,product_gpr,RBF x RBF,ood,6400,800,,0.7951091407479095,0.1345376696281853,False,128,64,8192,,,6.929136750000907,0.4886034999981348,,1e-10,ood_scale.h5,,1.0,,1000.0,
Parametric_Wave,sample,product_gpr,RBF x RBF,ood,6400,800,,0.016846154393155555,0.022944892672636243,False,128,64,8192,,,6.929136750000907,0.5022543750019395,,1e-10,ood_var.h5,,1.0,,1000.0,
